Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),CUBO:Zone Mean Air Temperature [C](TimeStep) 
 05/15  05:16:00,20.8,24.52724122174559 
 05/15  05:17:00,20.8,24.511196772614152 
 05/15  05:18:00,20.8,24.495216625028412 
 05/15  05:19:00,20.8,24.479310187186567 
 05/15  05:20:00,20.9,24.46347360051291 
 05/15  05:21:00,20.9,24.447716066512307 
 05/15  05:22:00,20.9,24.43203388678998 
 05/15  05:23:00,20.9,24.416436292660585 
 05/15  05:24:00,20.9,24.40091955236438 
 05/15  05:25:00,20.9,24.385492780071974 
 05/15  05:26:00,21.0,24.37016237081568 
 05/15  05:27:00,21.0,24.354920941491148 
 05/15  05:28:00,21.0,24.33977573083438 
 05/15  05:29:00,21.0,24.324732368973915 
 05/15  05:30:00,21.1,24.30979326307047 
 05/15  05:31:00,21.1,24.29495924093115 
 05/15  05:32:00,21.1,24.280230812870688 
 05/15  05:33:00,21.1,24.265608643395375 
 05/15  05:34:00,21.1,24.25109363301206 
 05/15  05:35:00,21.2,24.23668688157194 
 05/15  05:36:00,21.2,24.222389605217302 
 05/15  05:37:00,21.2,24.208203030402835 
 05/15  05:38:00,21.2,24.194128322904106 
 05/15  05:39:00,21.2,24.18017722975026 
 05/15  05:40:00,21.3,24.16634410890531 
 05/15  05:41:00,21.3,24.152625114966323 
 05/15  05:42:00,21.3,24.1390302746666 
 05/15  05:43:00,21.3,24.125553894603566 
 05/15  05:44:00,21.3,24.11220292645329 
 05/15  05:45:00,21.4,24.098980957548356 
 05/15  05:46:00,21.4,24.085877518287436 
 05/15  05:47:00,21.4,24.07289800617522 
 05/15  05:48:00,21.4,24.060046026521558 
 05/15  05:49:00,21.5,24.04732212794028 
 05/15  05:50:00,21.5,24.034725474118947 
 05/15  05:51:00,21.5,24.022255043823908 
 05/15  05:52:00,21.5,24.009910048364073 
 05/15  05:53:00,21.6,23.99768998402549 
 05/15  05:54:00,21.6,23.98559458423377 
 05/15  05:55:00,21.6,23.97362374829427 
 05/15  05:56:00,21.6,23.96177748944111 
 05/15  05:57:00,21.6,23.95006778056871 
 05/15  05:58:00,21.7,23.938486630449056 
 05/15  05:59:00,21.7,23.927029431339424 
 05/15  06:00:00,21.7,23.915706877603526 
 05/15  06:01:00,21.8,23.904511286548196 
 05/15  06:02:00,21.9,23.893450043597973 
 05/15  06:03:00,22.0,23.882525974818698 
 05/15  06:04:00,22.1,23.871726792414364 
 05/15  06:05:00,22.1,23.861058868529824 
 05/15  06:06:00,22.2,23.850526091773627 
 05/15  06:07:00,22.3,23.840129915475345 
 05/15  06:08:00,22.4,23.829871448229397 
 05/15  06:09:00,22.5,23.819752651379062 
 05/15  06:10:00,22.6,23.80977662252322 
 05/15  06:11:00,22.6,23.799947504007793 
 05/15  06:12:00,22.7,23.790270345419366 
 05/15  06:13:00,22.8,23.78076567577519 
 05/15  06:14:00,22.9,23.771428054645874 
 05/15  06:15:00,23.0,23.76225953781533 
 05/15  06:16:00,23.1,23.753280935759925 
 05/15  06:17:00,23.2,23.744502997594108 
 05/15  06:18:00,23.3,23.735917524478346 
 05/15  06:19:00,23.3,23.727540397421954 
 05/15  06:20:00,23.4,23.719381922201347 
 05/15  06:21:00,23.5,23.71144888389109 
 05/15  06:22:00,23.6,23.70374704273965 
